file,path,model,dataset,seed,epochs_tag,f_tag,t_tag,c_tag,seq_len,pred_len,mae_loss,mae,mse,mape,mspe,rmse,train_loss,vali_loss,test_loss,actual_epochs
DLinear_ETTh1_e10_f1_t100_c100_seq512_pred96_seed5.txt,results/ETTh1/DLinear_ETTh1_e10_f1_t100_c100_seq512_pred96_seed5.txt,DLinear,ETTh1,5,10,1,100,100,512,96,0.39141,0.39287,0.36874,8.76353,34809.42384,0.60724,0.32638,0.65097,0.36759,10.0
DLinear_ETTh1_e10_f1_t100_c100_seq512_pred720_seed10.txt,results/ETTh1/DLinear_ETTh1_e10_f1_t100_c100_seq512_pred720_seed10.txt,DLinear,ETTh1,10,10,1,100,100,512,720,0.49386,0.5197,0.50942,10.12638,36346.12213,0.71374,0.49319,1.22858,0.47866,6.0
DLinear_ETTh1_e10_f1_t100_c100_seq512_pred720_seed2.txt,results/ETTh1/DLinear_ETTh1_e10_f1_t100_c100_seq512_pred720_seed2.txt,DLinear,ETTh1,2,10,1,100,100,512,720,0.49305,0.50619,0.49554,10.12654,36935.22905,0.70395,0.49156,1.22523,0.47779,8.0
DLinear_ETTh1_e10_f1_t100_c100_seq512_pred720_seed5.txt,results/ETTh1/DLinear_ETTh1_e10_f1_t100_c100_seq512_pred720_seed5.txt,DLinear,ETTh1,5,10,1,100,100,512,720,0.49582,0.49886,0.48403,9.77286,34796.81768,0.69573,0.49107,1.21925,0.48101,10.0
DLinear_ETTh1_e10_f1_t100_c100_seq512_pred336_seed2.txt,results/ETTh1/DLinear_ETTh1_e10_f1_t100_c100_seq512_pred336_seed2.txt,DLinear,ETTh1,2,10,1,100,100,512,336,0.43548,0.47632,0.47747,8.98451,30447.79662,0.69099,0.4245,1.10461,0.43297,4.0
DLinear_ETTh1_e10_f1_t100_c100_seq512_pred720_seed1.txt,results/ETTh1/DLinear_ETTh1_e10_f1_t100_c100_seq512_pred720_seed1.txt,DLinear,ETTh1,1,10,1,100,100,512,720,0.49737,0.50525,0.49365,10.12576,36924.88277,0.7026,0.49204,1.21819,0.48304,7.0
DLinear_ETTh1_e10_f1_t100_c100_seq512_pred192_seed4.txt,results/ETTh1/DLinear_ETTh1_e10_f1_t100_c100_seq512_pred192_seed4.txt,DLinear,ETTh1,4,10,1,100,100,512,192,0.41555,0.4175,0.4051,8.44253,29966.29549,0.63647,0.37345,0.8728,0.40403,9.0
DLinear_ETTh1_e10_f1_t100_c100_seq512_pred192_seed10.txt,results/ETTh1/DLinear_ETTh1_e10_f1_t100_c100_seq512_pred192_seed10.txt,DLinear,ETTh1,10,10,1,100,100,512,192,0.41513,0.42518,0.4131,8.57102,30217.01868,0.64273,0.37419,0.87159,0.40352,7.0
DLinear_ETTh1_e10_f1_t100_c100_seq512_pred720_seed6.txt,results/ETTh1/DLinear_ETTh1_e10_f1_t100_c100_seq512_pred720_seed6.txt,DLinear,ETTh1,6,10,1,100,100,512,720,0.48654,0.51469,0.50438,10.21014,37327.57662,0.7102,0.49312,1.24216,0.47027,6.0
DLinear_ETTh1_e10_f1_t100_c100_seq512_pred720_seed3.txt,results/ETTh1/DLinear_ETTh1_e10_f1_t100_c100_seq512_pred720_seed3.txt,DLinear,ETTh1,3,10,1,100,100,512,720,0.49387,0.49719,0.48269,9.86921,35473.82138,0.69476,0.49108,1.22409,0.47883,10.0
DLinear_ETTh1_e10_f1_t100_c100_seq512_pred336_seed8.txt,results/ETTh1/DLinear_ETTh1_e10_f1_t100_c100_seq512_pred336_seed8.txt,DLinear,ETTh1,8,10,1,100,100,512,336,0.43908,0.44204,0.43858,8.46455,28505.80517,0.66226,0.41711,1.07121,0.43609,
