time_step,hr_actual,hr_pred
581,-2.191620111465454,-2.1995060443878174
582,-2.1915807723999023,-2.1993768215179443
583,-2.1915414333343506,-2.1991958618164062
584,-2.191502332687378,-2.1993508338928223
585,-2.191462993621826,-2.1995317935943604
586,-2.1914236545562744,-2.1996092796325684
587,-2.1913843154907227,-2.1997642517089844
588,-2.191344976425171,-2.2001261711120605
589,-2.191305637359619,-2.2000226974487305
590,-2.1912662982940674,-2.1999452114105225
591,-2.1912269592285156,-2.2001519203186035
592,-2.191187858581543,-2.1998934745788574
593,-2.191148519515991,-2.1996610164642334
594,-2.1911091804504395,-2.2000484466552734
595,-2.1910698413848877,-2.1999969482421875
596,-2.191030502319336,-2.2002036571502686
597,-2.190991163253784,-2.2001001834869385
598,-2.1909518241882324,-2.2004361152648926
599,-2.1909124851226807,-2.2001261711120605
600,-2.190873384475708,-2.2001519203186035
601,-2.1908340454101562,-2.2010045051574707
602,-2.1907947063446045,-2.2005910873413086
603,-2.1907553672790527,-2.2006170749664307
604,-2.190716028213501,-2.2006428241729736
605,-2.190676689147949,-2.2007462978363037
606,-2.1906373500823975,-2.2008237838745117
607,-2.1905980110168457,-2.2010562419891357
