log_path,smape,se
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/spectralUniTest/spectralUniTest_PJM_oil_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_initseed11.txt,1.01391,0.66366
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/spectralUniTest/spectralUniTest_SWPP_nat_gas_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_initseed11.txt,0.97371,0.45953
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/uniSynthPSD_eval/testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_h400_seq512_pred96_seed1_initseed13.txt,1.11987,0.53706
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/spectralUniTest/spectralUniTest_PJM_nat_gas_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_initseed11.txt,0.87783,0.46377
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/uniSynthPSD_eval/testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_h600_seq512_pred96_seed1_initseed11.txt,0.87925,0.314
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/spectralUniTest/spectralUniTest_CISO_solar_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_initseed12.txt,0.73472,0.30375
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/uniSynthPSD_eval/testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_h400_seq512_pred96_seed2_initseed11.txt,1.12174,0.53706
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/uniSynthPSD_eval/testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_h600_seq512_pred96_seed2_initseed11.txt,0.82077,0.314
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/uniSynthPSD_eval/testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_h400_seq512_pred96_seed2_initseed12.txt,1.1233,0.53706
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/spectralUniTest/spectralUniTest_FR_wind_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_initseed11.txt,1.10189,0.45675
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/uniSynthPSD_eval/testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_h600_seq512_pred96_seed3_initseed11.txt,0.89986,0.314
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/uniSynthPSD_eval/testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_h400_seq512_pred96_seed2_initseed13.txt,1.1128,0.53706
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/uniSynthPSD_eval/testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_h700_seq512_pred96_seed1_initseed11.txt,1.05968,0.26986
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/uniSynthPSD_eval/testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_h400_seq512_pred96_seed3_initseed11.txt,1.12847,0.53706
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/uniSynthPSD_eval/testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_h700_seq512_pred96_seed2_initseed11.txt,1.03939,0.26986
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/uniSynthPSD_eval/testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_h400_seq512_pred96_seed3_initseed12.txt,1.12859,0.53706
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/spectralUniTest/spectralUniTest_SWPP_nat_gas_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_initseed12.txt,1.01225,0.45953
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/spectralUniTest/spectralUniTest_PJM_oil_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_initseed12.txt,1.07481,0.66366
/home/nesl/oliver/timeSeriesMamba/TimeLLM/results/uniSynthPSD_eval/testing_uniSynthPSD_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_h700_seq512_pred96_seed3_initseed11.txt,1.07584,0.26986
