log_path,model,base_key,seed,init_seed,se,smape,domain
../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_init13.txt,Random Init,pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96,3,13,0.53666,0.44587,pems_eval
../results/fitbit_eval/test_fitbit_hr_low_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_initseed11.txt,Random Init,test_fitbit_hr_low_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed11,1,,0.44255,0.74505,fitbit_eval
../results/fitbit_eval/test_fitbit_hr_low_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_initseed12.txt,Random Init,test_fitbit_hr_low_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed12,1,,0.44255,0.71233,fitbit_eval
../results/fitbit_eval/test_fitbit_hr_low_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_initseed13.txt,Random Init,test_fitbit_hr_low_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed13,1,,0.44255,0.70598,fitbit_eval
../results/fitbit_eval/test_fitbit_hr_low_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_initseed11.txt,Random Init,test_fitbit_hr_low_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed11,2,,0.44255,0.73275,fitbit_eval
../results/fitbit_eval/test_fitbit_hr_low_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_initseed12.txt,Random Init,test_fitbit_hr_low_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed12,2,,0.44255,0.70735,fitbit_eval
../results/fitbit_eval/test_fitbit_hr_low_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_initseed13.txt,Random Init,test_fitbit_hr_low_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed13,2,,0.44255,0.73474,fitbit_eval
../results/fitbit_eval/test_fitbit_hr_low_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_initseed11.txt,Random Init,test_fitbit_hr_low_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed11,3,,0.44255,0.71129,fitbit_eval
../results/fitbit_eval/test_fitbit_hr_low_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_initseed12.txt,Random Init,test_fitbit_hr_low_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed12,3,,0.44255,0.72758,fitbit_eval
../results/fitbit_eval/test_fitbit_hr_low_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_initseed13.txt,Random Init,test_fitbit_hr_low_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed13,3,,0.44255,0.71997,fitbit_eval
../results/fitbit_eval/test_fitbit_hr_low_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed1_initseed11.txt,Language Pretrained,test_fitbit_hr_low_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed11,1,,0.44255,0.73659,fitbit_eval
../results/fitbit_eval/test_fitbit_hr_medium_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed1_initseed11.txt,Language Pretrained,test_fitbit_hr_medium_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed11,1,,0.35619,0.6448,fitbit_eval
../results/fitbit_eval/test_fitbit_hr_high_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed1_initseed11.txt,Language Pretrained,test_fitbit_hr_high_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed11,1,,0.49108,0.8379,fitbit_eval
../results/fitbit_eval/test_fitbit_hr_low_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed2_initseed11.txt,Language Pretrained,test_fitbit_hr_low_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed11,2,,0.44255,0.73363,fitbit_eval
../results/fitbit_eval/test_fitbit_hr_high_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed2_initseed11.txt,Language Pretrained,test_fitbit_hr_high_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed11,2,,0.49108,0.76373,fitbit_eval
../results/fitbit_eval/test_fitbit_hr_medium_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed2_initseed11.txt,Language Pretrained,test_fitbit_hr_medium_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed11,2,,0.35619,0.61774,fitbit_eval
../results/fitbit_eval/test_fitbit_hr_low_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed3_initseed11.txt,Language Pretrained,test_fitbit_hr_low_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed11,3,,0.44255,0.74324,fitbit_eval
../results/fitbit_eval/test_fitbit_hr_high_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed3_initseed11.txt,Language Pretrained,test_fitbit_hr_high_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed11,3,,0.49108,0.74427,fitbit_eval
../results/fitbit_eval/test_fitbit_hr_medium_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed3_initseed11.txt,Language Pretrained,test_fitbit_hr_medium_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed11,3,,0.35619,0.51753,fitbit_eval
../results/fitbit_eval/test_fitbit_hr_high_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_initseed11.txt,Random Init,test_fitbit_hr_high_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed11,1,,0.49108,0.77533,fitbit_eval
../results/fitbit_eval/test_fitbit_hr_medium_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_initseed11.txt,Random Init,test_fitbit_hr_medium_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed11,1,,0.35619,0.59321,fitbit_eval
../results/fitbit_eval/test_fitbit_hr_high_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_initseed12.txt,Random Init,test_fitbit_hr_high_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed12,1,,0.49108,0.76327,fitbit_eval
../results/fitbit_eval/test_fitbit_hr_medium_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_initseed12.txt,Random Init,test_fitbit_hr_medium_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed12,1,,0.35619,0.63017,fitbit_eval
../results/fitbit_eval/test_fitbit_hr_high_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_initseed13.txt,Random Init,test_fitbit_hr_high_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed13,1,,0.49108,0.78582,fitbit_eval
