log_path,model,base_key,seed,init_seed,se,smape
../results/spectralUniTest/spectralUniTest_FR_wind_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_initseed11.txt,Random Init,spectralUniTest_FR_wind_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed11,3,,0.45675,1.12757
../results/spectralUniTest/spectralUniTest_FR_wind_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_initseed12.txt,Random Init,spectralUniTest_FR_wind_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed12,3,,0.45675,1.1389
../results/spectralUniTest/spectralUniTest_SWPP_nat_gas_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_initseed11.txt,Random Init,spectralUniTest_SWPP_nat_gas_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed11,2,,0.45953,1.00411
../results/spectralUniTest/spectralUniTest_PJM_oil_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_initseed11.txt,Random Init,spectralUniTest_PJM_oil_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed11,2,,0.66366,0.99344
../results/spectralUniTest/spectralUniTest_CISO_solar_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_initseed12.txt,Random Init,spectralUniTest_CISO_solar_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed12,2,,0.30375,0.64868
../results/spectralUniTest/spectralUniTest_PJM_nat_gas_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_initseed11.txt,Random Init,spectralUniTest_PJM_nat_gas_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed11,2,,0.46377,0.91499
../results/spectralUniTest/spectralUniTest_FR_wind_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_initseed13.txt,Random Init,spectralUniTest_FR_wind_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed13,3,,0.45675,1.14372
../results/spectralUniTest/spectralUniTest_SWPP_nat_gas_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_initseed12.txt,Random Init,spectralUniTest_SWPP_nat_gas_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed12,2,,0.45953,0.98371
../results/spectralUniTest/spectralUniTest_PJM_oil_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_initseed12.txt,Random Init,spectralUniTest_PJM_oil_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed12,2,,0.66366,1.00228
../results/spectralUniTest/spectralUniTest_CISO_solar_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_initseed13.txt,Random Init,spectralUniTest_CISO_solar_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed13,2,,0.30375,0.70828
../results/spectralUniTest/spectralUniTest_PJM_nat_gas_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_initseed12.txt,Random Init,spectralUniTest_PJM_nat_gas_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed12,2,,0.46377,0.88227
../results/spectralUniTest/spectralUniTest_SWPP_nat_gas_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_initseed13.txt,Random Init,spectralUniTest_SWPP_nat_gas_heldout_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96_initseed13,2,,0.45953,1.00661
